id,title,alt_titles,hash,year,artist_name,src,width_px,height_px,faille_id,hulsker_id,is_wikiart_vangogh_oil_painting,is_lmi_concordance_vangogh_oil_painting,exclude_from_training,run_1,run_1_train_val_test_images,run_2,run_2_train_test_images,run_3,run_3_train_test_images,run_4,run_4_train_test_images,run_5,run_5_train_test_images,run_6,run_6_train_test_images,run_7,run_7_train_test_images
43,Still Life with Beer Mug and Fruit,,869c2eb6a97e163110f723e7a0bc17de7aa0af35954c8ab49019285b483549ec.jpg,1881,Vincent van Gogh,https://uploads8.wikiart.org/images/vincent-van-gogh/still-life-with-beer-mug-and-fruit-1881.jpg,1024,774,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
44,Still Life with Cabbage and Clogs,,edb9f5eeb2f22858014202ee8e44befcfb5d15d64e18edb1e07752654d4b4de9.jpg,1881,Vincent van Gogh,https://uploads7.wikiart.org/images/vincent-van-gogh/still-life-with-cabbage-and-clogs-1881.jpg,1024,636,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
45,Windmils at Dordrecht,,f5322d6f4d30906e2c42d36cdbf414e4df3bf88cc20c1cdb627a9acfdeb5f5a5.jpg,1881,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/windmils-at-dordrecht-1881.jpg,1280,556,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
46,Beach at Scheveningen in Calm Weather,,013c8c777e56a535de5145d39407a9d4aee74c06446d4a48170a36825dfe5e0d.jpg,1882,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/beach-at-scheveningen-in-calm-weather-1882(1).jpg,1024,700,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
47,Cluster of Old Houses with the New Church in The Hague,,3919cfa193cce8f4ed99d42256c694fe925514dfc0bcf0b56f729981c0318923.jpg,1882,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/cluster-of-old-houses-with-the-new-church-in-the-hague-1882(1).jpg,854,1231,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
48,Dunes,,c956edb393253f31112bf7b5bbd7148a0ca5c3da86a73fae0058b312cdca705a.jpg,1882,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/dunes-1882(1).jpg,1280,742,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
49,Dunes with Figures,,a8ec16dc51b694c42ba7fe6078cdcf45a4f35d346f68ea3c13c3f65d0de94ddf.jpg,1882,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/dunes-with-figures-1882-1(1).jpg,2059,1456,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,1,test,0,0,0,0,0,0
50,Dunes with Figures,,4bb246f833c87a8eb4da3e5325ae317bf9d24634bf5b7f6234af271efa30843e.jpg,1882,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/dunes-with-figures-1882(1).jpg,1024,734,,,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Edge of a Wood,,361a72c6abef8e541f414068feb21c3afb8b0d616de61b7fdfd23d2a616d3df5.jpg,1882,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/edge-of-a-wood-1882(1).jpg,2730,1842,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
52,Factory,,5723194cfc09587b69156425c847ad05ded57ff070c158c8edb9e19e5a86d26e.jpg,1882,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/factory-1882(1).jpg,750,527,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
